"contrast_id","domain","expected_sep","cat1","cat2","n_cat1","n_cat2","feature_set","method","estimator_family","jsd","n_eval","bins_per_feature","possible_bins","observed_bins","gmm_engine","gmm_k_cat1","gmm_k_cat2","gmm_model_cat1","gmm_model_cat2","gmm_bic_cat1","gmm_bic_cat2","detail","status","note"
"stop_voicing_b_p","stop_voicing",0,"b","p",300,300,"vot_ms","kde","kernel_density",0.0259173680326658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"stop_voicing_b_p","stop_voicing",0,"b","p",300,300,"vot_ms","histogram_equal_width","binned_histogram",0.0609142669683701,NA,"32",32,32,NA,NA,NA,NA,NA,NA,NA,"bins=32; smooth=0","ok",NA
"stop_voicing_b_p","stop_voicing",0,"b","p",300,300,"vot_ms","empirical_quantile_binned","empirical_discrete",0.0663186343966704,NA,"32",32,32,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=32; smooth=0","ok",NA
"stop_voicing_b_p","stop_voicing",0,"b","p",300,300,"vot_ms","gaussian_mixture","gaussian_mixture",0.0350335361519352,600,NA,NA,NA,"mclust",3,3,"V","E",-2837.18256923194,-2890.96873172816,"max_components=3; covariance=BIC-selected","ok",NA
"stop_voicing_d_t","stop_voicing",0,"d","t",300,300,"vot_ms","kde","kernel_density",0.0224442766575514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"stop_voicing_d_t","stop_voicing",0,"d","t",300,300,"vot_ms","histogram_equal_width","binned_histogram",0.0610200567024916,NA,"32",32,32,NA,NA,NA,NA,NA,NA,NA,"bins=32; smooth=0","ok",NA
"stop_voicing_d_t","stop_voicing",0,"d","t",300,300,"vot_ms","empirical_quantile_binned","empirical_discrete",0.054909107146598,NA,"32",32,32,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=32; smooth=0","ok",NA
"stop_voicing_d_t","stop_voicing",0,"d","t",300,300,"vot_ms","gaussian_mixture","gaussian_mixture",0.052194680443645,600,NA,NA,NA,"mclust",3,2,"V","E",-2840.92988184151,-2870.85528085257,"max_components=3; covariance=BIC-selected","ok",NA
"stop_voicing_g_k","stop_voicing",0,"g","k",300,300,"vot_ms","kde","kernel_density",0.0313614128365029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"stop_voicing_g_k","stop_voicing",0,"g","k",300,300,"vot_ms","histogram_equal_width","binned_histogram",0.072183649371981,NA,"32",32,32,NA,NA,NA,NA,NA,NA,NA,"bins=32; smooth=0","ok",NA
"stop_voicing_g_k","stop_voicing",0,"g","k",300,300,"vot_ms","empirical_quantile_binned","empirical_discrete",0.0662898691784105,NA,"31",31,31,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=32; smooth=0","ok",NA
"stop_voicing_g_k","stop_voicing",0,"g","k",300,300,"vot_ms","gaussian_mixture","gaussian_mixture",0.0487103430900432,600,NA,NA,NA,"mclust",3,3,"V","E",-2826.12712232785,-2899.33153773703,"max_components=3; covariance=BIC-selected","ok",NA
"fricative_place_s_sh","fricative_place",1,"s","sh",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","kde","kernel_density",0.983149996346715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"fricative_place_s_sh","fricative_place",1,"s","sh",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","histogram_equal_width","binned_histogram",0.6105658328301,NA,"4,4,4,4,4,4,4,4",65536,270,NA,NA,NA,NA,NA,NA,NA,"bins=4; smooth=0","ok",NA
"fricative_place_s_sh","fricative_place",1,"s","sh",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","empirical_quantile_binned","empirical_discrete",0.901510693448083,NA,"4,4,4,4,4,4,4,4",65536,495,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=4; smooth=0","ok",NA
"fricative_place_s_sh","fricative_place",1,"s","sh",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","gaussian_mixture","gaussian_mixture",0.486677246115916,600,NA,NA,NA,"mclust",3,3,"VVV","VVV",-21260.3699502688,-20471.4808528401,"max_components=3; covariance=BIC-selected","ok",NA
"fricative_place_f_th","fricative_place",1,"f","th",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","kde","kernel_density",0.946255155495332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"fricative_place_f_th","fricative_place",1,"f","th",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","histogram_equal_width","binned_histogram",0.395496825467276,NA,"4,4,4,4,4,4,4,4",65536,250,NA,NA,NA,NA,NA,NA,NA,"bins=4; smooth=0","ok",NA
"fricative_place_f_th","fricative_place",1,"f","th",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","empirical_quantile_binned","empirical_discrete",0.737977286757496,NA,"4,4,4,4,4,4,4,4",65536,447,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=4; smooth=0","ok",NA
"fricative_place_f_th","fricative_place",1,"f","th",300,300,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","gaussian_mixture","gaussian_mixture",0.234645856540736,600,NA,NA,NA,"mclust",3,3,"VVV","VVV",-20086.7505232317,-20262.232180986,"max_components=3; covariance=BIC-selected","ok",NA
"fricative_place_z_zh","fricative_place",1,"z","zh",300,120,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","kde","kernel_density",0.993149934747134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bw=Hpi.diag; eval_on=pooled","ok",NA
"fricative_place_z_zh","fricative_place",1,"z","zh",300,120,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","histogram_equal_width","binned_histogram",0.681857440329715,NA,"4,4,4,4,4,4,4,4",65536,229,NA,NA,NA,NA,NA,NA,NA,"bins=4; smooth=0","ok",NA
"fricative_place_z_zh","fricative_place",1,"z","zh",300,120,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","empirical_quantile_binned","empirical_discrete",0.886565571080736,NA,"4,4,4,4,4,4,4,4",65536,360,NA,NA,NA,NA,NA,NA,NA,"quantile_bins=4; smooth=0","ok",NA
"fricative_place_z_zh","fricative_place",1,"z","zh",300,120,"cog_hz,spec_sd_hz,spec_skew,spec_kurt,peak_hz,spec_slope_db_per_khz,band_ratio_hi_lo_db,intensity_db","gaussian_mixture","gaussian_mixture",0.560388806062133,420,NA,NA,NA,"mclust",3,3,"VVV","VVE",-21230.6152948513,-8393.33540189921,"max_components=3; covariance=BIC-selected","ok",NA
