"type","sex","speaker","vowel","repetition","f0","f1","f2","f3","f1_z","f2_z","vowel_ipa"
"w","f","38","E","2",200,600,2400,3150,0.316979111950411,0.912143071101733,"/ɛ/"
"w","f","39","I","1",214,350,2580,3000,-1.16949499552039,1.27632460277765,"/ɪ/"
"w","f","39","I","2",267,390,2700,3200,-0.92309099330382,1.45842905831931,"/ɪ/"
"w","f","39","E","1",233,560,2330,2800,0.124126016116596,0.896940320399178,"/ɛ/"
"w","f","39","E","2",200,520,2500,3000,-0.122277986099972,1.15492163241654,"/ɛ/"
"w","f","40","I","1",214,428,2570,3000,-0.587000252322814,1.00700545128028,"/ɪ/"
"w","f","40","I","2",220,440,2640,3080,-0.537429506173105,1.09911963826443,"/ɪ/"
"w","f","40","E","1",210,528,2540,3170,-0.173910701075232,0.967527942572788,"/ɛ/"
"w","f","40","E","2",210,504,2520,3200,-0.273052193374652,0.94120960343446,"/ɛ/"
"w","f","41","I","1",237,474,2370,3095,-0.53328045363978,1.03132127617415,"/ɪ/"
"w","f","41","I","2",237,475,2400,3090,-0.52672103846586,1.08236836128424,"/ɪ/"
"w","f","41","E","1",229,526,2360,3090,-0.192190864595886,1.01430558113746,"/ɛ/"
"w","f","41","E","2",233,580,2360,3150,0.16201755479585,1.01430558113746,"/ɛ/"
"w","f","42","I","1",238,429,2560,3200,-0.673221727150344,1.13585201877167,"/ɪ/"
"w","f","42","I","2",230,430,2575,3100,-0.668286083989418,1.15841263884791,"/ɪ/"
"w","f","42","E","1",214,579,2570,3300,0.0671247469885975,1.15089243215583,"/ɛ/"
"w","f","42","E","2",214,536,2570,3100,-0.145107908931232,1.15089243215583,"/ɛ/"
"w","f","43","I","1",250,500,2370,3120,-0.65216117039383,0.974981320330705,"/ɪ/"
"w","f","43","I","2",238,476,2380,3090,-0.760216870010343,0.990145506042357,"/ɪ/"
"w","f","43","E","1",238,760,2380,3205,0.518442242118395,0.990145506042357,"/ɛ/"
"w","f","43","E","2",233,746,2290,3030,0.455409750675429,0.853667834637484,"/ɛ/"
"w","f","44","I","1",267,534,2500,3250,-0.296757505226883,1.15025736049501,"/ɪ/"
"w","f","44","I","2",264,528,2640,3370,-0.320498105645033,1.34185287562803,"/ɪ/"
"w","f","44","E","1",238,700,2380,3250,0.360065773008618,0.986032633238139,"/ɛ/"
"w","f","44","E","2",250,750,2480,3000,0.557904109826539,1.12288657261887,"/ɛ/"
"w","f","45","I","1",222,444,2555,3110,-0.57400933984263,1.22350723592486,"/ɪ/"
"w","f","45","I","2",242,420,2700,3120,-0.677863272418756,1.42575136407022,"/ɪ/"
"w","f","45","E","1",226,634,2325,2940,0.248167626385035,0.902706205073612,"/ɛ/"
"w","f","45","E","2",225,608,2475,3100,0.135659199427565,1.11192426867225,"/ɛ/"
"w","f","46","I","1",257,514,2570,3070,-0.568615436433549,1.17517121506816,"/ɪ/"
"w","f","46","I","2",238,500,2680,3260,-0.631594994266379,1.33791681957213,"/ɪ/"
"w","f","46","E","1",238,650,2495,3090,0.0431859825139406,1.06420830290637,"/ɛ/"
"w","f","46","E","2",216,650,2380,3030,0.0431859825139406,0.894065170924955,"/ɛ/"
"w","f","47","I","1",297,480,2670,3260,-0.645625814352563,1.29210215958953,"/ɪ/"
"w","f","47","I","2",220,440,2620,3380,-0.855159547205321,1.21889523836633,"/ɪ/"
"w","f","47","E","1",173,550,2370,3140,-0.278941781860235,0.852860632250314,"/ɛ/"
"w","f","47","E","2",260,520,2340,3040,-0.436092081499804,0.808936479516392,"/ɛ/"
"w","f","48","I","1",167,480,2390,2950,-0.483997520755542,1.01944212211535,"/ɪ/"
"w","f","48","I","2",194,520,2450,3000,-0.321309278484772,1.09898246974463,"/ɪ/"
"w","f","48","E","1",220,620,2520,2920,0.0854113271921546,1.1917795419788,"/ɛ/"
"w","f","48","E","2",222,620,2440,2880,0.0854113271921546,1.08572574513975,"/ɛ/"
"w","f","49","I","1",211,444,2220,2740,-0.699625021414176,1.24714892436556,"/ɪ/"
"w","f","49","I","2",210,420,2090,2780,-0.844687660843466,1.00454925330837,"/ɪ/"
"w","f","49","E","1",200,500,2350,2830,-0.361145529412501,1.48974859542275,"/ɛ/"
"w","f","49","E","2",200,600,2200,2700,0.243282134876204,1.20982589804907,"/ɛ/"
"w","f","50","I","1",200,460,2300,2800,-0.684778455067007,1.22012710107937,"/ɪ/"
"w","f","50","I","2",210,420,2305,2835,-0.916024872987482,1.22942472434447,"/ɪ/"
"w","f","50","E","1",190,570,2100,2720,-0.0488508057857006,0.84822217047528,"/ɛ/"
"w","f","50","E","2",207,538,2175,2880,-0.233847940122081,0.987686519451814,"/ɛ/"
"w","f","51","I","1",233,514,2600,2930,-0.305794726753768,1.18608522470542,"/ɪ/"
"w","f","51","I","2",237,473,2660,2970,-0.559591969606086,1.26606849358131,"/ɪ/"
"w","f","51","E","1",223,567,2460,3122,0.0222846359577646,0.999457597328335,"/ɛ/"
"w","f","51","E","2",224,521,2460,2920,-0.262463490169226,0.999457597328335,"/ɛ/"
"w","f","52","I","1",194,388,2622,3050,-1.03047590864803,1.43758865208488,"/ɪ/"
"w","f","52","I","2",194,426,2460,3040,-0.75920410727203,1.18145517764138,"/ɪ/"
"w","f","52","E","1",187,592,2242,2765,0.425825340844162,0.83678173672359,"/ɛ/"
"w","f","52","E","2",191,535,2290,2870,0.018917638780168,0.912673136558701,"/ɛ/"
"w","f","53","I","1",290,480,2600,3060,-0.67355436451537,1.24789809470062,"/ɪ/"
"w","f","53","I","2",292,465,2598,3060,-0.736171751981937,1.24478806829638,"/ɪ/"
"w","f","53","E","1",250,700,2350,2980,0.244833984994276,0.859144794170832,"/ɛ/"
"w","f","53","E","2",240,737,2325,3100,0.399290207411808,0.820269464117853,"/ɛ/"
"w","f","54","I","1",228,319,2500,3020,-0.93272475236045,1.18028872765463,"/ɪ/"
"w","f","54","I","2",216,324,2500,3010,-0.912130255730721,1.18028872765463,"/ɪ/"
"w","f","54","E","1",220,616,2380,2900,0.290588347445483,1.0054203440278,"/ɛ/"
"w","f","54","E","2",212,615,2300,2800,0.286469448119537,0.888841421609905,"/ɛ/"
"w","f","55","I","1",225,383,2420,3080,-0.745517462173395,1.14496821177237,"/ɪ/"
"w","f","55","I","2",240,384,2400,3050,-0.740598178358328,1.11599817668419,"/ɪ/"
"w","f","55","E","1",209,418,2430,3110,-0.573342528646052,1.15945322931646,"/ɛ/"
"w","f","55","E","2",230,460,2300,3050,-0.36673260841324,0.971148001243323,"/ɛ/"
"w","f","56","I","1",231,417,2300,3000,-0.824259322268644,1.15771019574714,"/ɪ/"
"w","f","56","I","2",239,410,2200,2910,-0.861435966958596,0.968185730535195,"/ɪ/"
"w","f","56","E","1",222,644,2250,3000,0.381326155534076,1.06294796314117,"/ɛ/"
"w","f","56","E","2",224,670,2300,2880,0.51941083581104,1.15771019574714,"/ɛ/"
"w","f","57","I","1",230,460,2665,3140,-0.794770582620068,1.17017590326346,"/ɪ/"
"w","f","57","I","2",233,467,2680,3150,-0.755660606673913,1.19091022320789,"/ɪ/"
"w","f","57","E","1",229,640,2400,2860,0.21091451313819,0.803869584245311,"/ɛ/"
"w","f","57","E","2",233,630,2530,3030,0.155043118929398,0.983567023763651,"/ɛ/"
"w","f","58","I","1",258,460,2380,2940,-0.849155386357476,1.15801930928695,"/ɪ/"
"w","f","58","I","2",251,480,2260,2980,-0.748663624658367,0.963870071264688,"/ɪ/"
"w","f","58","E","1",246,640,2220,2900,0.0552704689345103,0.899153658590601,"/ɛ/"
"w","f","58","E","2",250,670,2250,2960,0.206008111483175,0.947690968096166,"/ɛ/"
"w","f","59","I","1",260,470,2500,3400,-0.498168703357838,1.23050835511969,"/ɪ/"
"w","f","59","I","2",262,440,2480,3240,-0.645628605683789,1.20030256548803,"/ɪ/"
"w","f","59","E","1",242,730,2300,3100,0.779817116800405,0.928450458803101,"/ɛ/"
"w","f","59","E","2",260,750,2340,3120,0.878123718351039,0.988862038066418,"/ɛ/"
"w","f","60","I","1",220,370,2530,3060,-0.996923572953263,1.1579263431868,"/ɪ/"
"w","f","60","I","2",250,400,2600,3120,-0.861287712687513,1.26636091713071,"/ɪ/"
"w","f","60","E","1",214,640,2360,3020,0.223799169438488,0.894585235037291,"/ɛ/"
"w","f","60","E","2",219,650,2430,3040,0.269011122860404,1.0030198089812,"/ɛ/"
"w","f","61","I","1",262,450,2310,3020,-0.541969146857755,1.16447168736089,"/ɪ/"
"w","f","61","I","2",263,472,2270,2950,-0.431516889045151,1.10332450325267,"/ɪ/"
"w","f","61","E","1",245,640,1980,2920,0.41193671606928,0.660007418468084,"/ɛ/"
"w","f","61","E","2",235,700,2110,2940,0.71317014646729,0.858735766819794,"/ɛ/"
"c","f","62","I","1",205,600,2550,4000,-0.432188415948744,0.740854875183338,"/ɪ/"
"c","f","62","I","2",205,610,2500,4100,-0.395406423102043,0.675753392302552,"/ɪ/"
"c","f","62","E","1",225,600,2750,3600,-0.432188415948744,1.00126080670648,"/ɛ/"
"c","f","62","E","2",210,760,2500,3850,0.156323469598482,0.675753392302552,"/ɛ/"
"c","f","63","I","1",322,640,3200,3660,-0.224295755158716,1.36250095115822,"/ɪ/"
"c","f","63","I","2",325,650,3000,3800,-0.190052128416927,1.12523478639406,"/ɪ/"
"c","f","63","E","1",270,850,2900,3680,0.494820406418847,1.00660170401197,"/ɛ/"
"c","f","63","E","2",285,700,3120,3750,-0.0188339947079838,1.26759448525256,"/ɛ/"
"c","m","64","I","1",290,580,2760,3400,-0.271436606000149,1.03724300466948,"/ɪ/"
"c","m","64","I","2",250,500,2660,3500,-0.625388170466522,0.904687988098304,"/ɪ/"
"c","m","64","E","1",250,780,2450,3400,0.613442305165781,0.626322453298826,"/ɛ/"
"c","m","64","E","2",240,672,2550,3400,0.135607693136179,0.758877469870006,"/ɛ/"
"c","f","65","I","1",291,580,2900,3820,-0.661414167537351,1.17915047757903,"/ɪ/"
"c","f","65","I","2",280,560,2840,3900,-0.75034380350876,1.10049674922468,"/ɪ/"
"c","f","65","E","1",292,810,2640,4200,0.361276646133847,0.838317654710163,"/ɛ/"
"c","f","65","E","2",270,780,2720,4100,0.227882192176734,0.943189292515969,"/ɛ/"
"c","f","66","I","1",310,560,2500,3450,-0.938690597156845,1.17566694538566,"/ɪ/"
"c","f","66","I","2",310,580,2500,3450,-0.831717309731563,1.17566694538566,"/ɪ/"
"c","f","66","E","1",286,800,2300,3750,0.344988851946533,0.844958943870705,"/ɛ/"
"c","f","66","E","2",310,835,2420,3740,0.532192104940775,1.04338374477968,"/ɛ/"
"c","f","67","I","1",235,680,3250,4380,-0.282407525707958,1.35065853426801,"/ɪ/"
"c","f","67","I","2",220,440,3000,3790,-1.38448567481218,1.06230274129875,"/ɪ/"
"c","f","67","E","1",212,660,2900,3610,-0.374247371466643,0.946960424111047,"/ɛ/"
"c","f","67","E","2",216,610,2760,3650,-0.603846985863357,0.785481180048262,"/ɛ/"
"c","f","68","I","1",250,500,2500,3640,-0.523328478810053,0.917651872983735,"/ɪ/"
"c","f","68","I","2",278,530,2630,3640,-0.40393795132487,1.08219634676013,"/ɪ/"
"c","f","68","E","1",255,710,2550,3560,0.31240521358623,0.980938209051578,"/ɛ/"
"c","f","68","E","2",250,750,2480,3470,0.471592583566474,0.892337338556597,"/ɛ/"
"c","m","69","I","1",290,550,2610,3560,-0.450525248658565,1.08320242373216,"/ɪ/"
"c","m","69","I","2",286,540,2570,3600,-0.498968823783142,1.02352184942185,"/ɪ/"
"c","m","69","E","1",280,700,2500,3580,0.276128378210088,0.919080844378804,"/ɛ/"
"c","m","69","E","2",263,600,2360,3400,-0.20830737303568,0.710198834292712,"/ɛ/"
"c","m","70","I","1",230,460,2520,3300,-0.647262402961183,1.19732448463778,"/ɪ/"
"c","m","70","I","2",212,420,2480,3140,-0.844673734401879,1.13623650072769,"/ɪ/"
"c","m","70","E","1",235,657,2300,3300,0.324988404384246,0.86134057313228,"/ɛ/"
"c","m","70","E","2",232,672,2275,3300,0.399017653674507,0.823160583188473,"/ɛ/"
"c","m","71","I","1",225,450,2700,3650,-0.606484108633343,0.996641474576544,"/ɪ/"
"c","m","71","I","2",250,400,2840,3700,-0.820789447373041,1.1938567486977,"/ɪ/"
"c","m","71","E","1",215,580,2650,3550,-0.0492902279101304,0.926207448104704,"/ɛ/"
"c","m","71","E","2",220,620,2660,3770,0.122154043081627,0.940294253399072,"/ɛ/"
"c","m","72","I","1",280,500,2720,3360,-0.74488124981422,1.28252817872304,"/ɪ/"
"c","m","72","I","2",230,600,2750,3550,-0.321653266965232,1.32630047151223,"/ɪ/"
"c","m","72","E","1",245,735,2450,3300,0.249704509880903,0.888577543620402,"/ɛ/"
"c","m","72","E","2",258,780,2560,3300,0.440157102162949,1.04907595051407,"/ɛ/"
"c","f","73","I","1",294,380,2960,3800,-0.994589500580978,1.27262739010451,"/ɪ/"
"c","f","73","I","2",300,520,2900,3600,-0.460581715034144,1.18958481978774,"/ɪ/"
"c","f","73","E","1",280,670,2790,3600,0.111569483766035,1.03734010754033,"/ɛ/"
"c","f","73","E","2",275,620,2750,3500,-0.0791475825006914,0.981978393995813,"/ɛ/"
"c","m","74","I","1",286,570,2850,3400,-0.396848957446482,1.18501072063191,"/ɪ/"
"c","m","74","I","2",267,485,2630,3450,-0.661934705053169,0.904986705015349,"/ɪ/"
"c","m","74","E","1",264,650,2880,3500,-0.147356489110776,1.22319581367053,"/ɛ/"
"c","m","74","E","2",284,570,2900,3600,-0.396848957446482,1.24865254236295,"/ɛ/"
"c","m","75","I","1",271,515,2740,3280,-0.57845766382798,1.3821317289914,"/ɪ/"
"c","m","75","I","2",290,485,2600,3200,-0.738621299405639,1.15039706784315,"/ɪ/"
"c","m","75","E","1",262,630,2520,3150,0.0355029392197144,1.01797726147271,"/ɛ/"
"c","m","75","E","2",272,565,2440,3120,-0.311518271198548,0.885557455102277,"/ɛ/"
"c","f","76","I","1",308,590,2760,3500,-0.674058830463817,1.063962690903,"/ɪ/"
"c","f","76","I","2",320,540,2900,3500,-0.868648562121962,1.25905735590158,"/ɪ/"
"c","f","76","E","1",307,830,2750,3650,0.259971881495282,1.05002735768881,"/ɛ/"
"c","f","76","E","2",308,800,2640,3540,0.143218042500395,0.89673869233278,"/ɛ/"
