"v1","v2","n_tokens","jsd","pillai","bhatt_dist","overlap_kde","bhatt_affinity"
"a","æ",1000,0.791788461985354,0.153785436835487,0.17635756253641,0.07185093322391,0.838318178566545
"a","aj",1000,0.819578001650552,0.0868639138783485,0.107930738816365,0.0705550759204256,0.897689769333287
"a","aw",1000,0.836444631393361,0.243232322072412,0.256059849618173,0.0604537616140536,0.774095638077456
"a","ɐ",1000,0.867782414616513,0.199905420495903,0.217835063556035,0.0497100447163362,0.804258082195737
"a","ɑ",1000,0.883907401034797,0.377296984880279,0.431925000456819,0.050656349563148,0.649258068917752
"a","ɑː",1000,0.915269477360937,0.453707875933131,0.594287236497097,0.0326291846560231,0.551955839673306
"a","ɒ",1000,0.936249128796427,0.495301882471221,0.648749938243113,0.0254668975183605,0.522698774280468
"a","ɒː",939,0.951304067220553,0.560386670872192,0.82833518103251,0.0234037019669158,0.436775834061584
"a","e",1000,0.853723620737969,0.487831736932733,0.737438197501665,0.0520578604286332,0.478337754088837
"a","ej",1000,0.913662425081864,0.452670641939445,0.61216066995629,0.0366761423129412,0.542178134578305
"a","ə",1000,0.85106435106816,0.247659263962028,0.291949811116602,0.0534732428186835,0.746806016392877
"a","əw",1000,0.882941445746571,0.338070338462609,0.430433456793885,0.0364844301720727,0.650227188238279
"a","ɛ",1000,0.835891159843187,0.109861979521923,0.169319376456547,0.0805813852684327,0.844239230190875
"a","ɛː",845,0.835923496224732,0.149295848019957,0.204337899195712,0.0505501617452102,0.815186873655754
"a","ɚ",1000,0.896813932060449,0.466997564051782,0.691747013933965,0.0425357128715894,0.500700573658464
"a","ɝ",1000,0.932133365486064,0.542940903516095,0.809763800514646,0.0255517798004761,0.444963153879575
"a","i",1000,0.925650772211574,0.550833214656088,0.844965528761306,0.0314396476506907,0.429572165840184
"a","iː",1000,0.968583394005968,0.655246583428003,1.21110366593772,0.00894618857955127,0.297868350796912
"a","ɪ",1000,0.898907777045173,0.390387977551943,0.472956368689475,0.0393202127837013,0.623157259752423
"a","o",1000,0.858590998575236,0.452123605829267,0.711301343229878,0.0476280866923113,0.491004815730866
"a","ow",1000,0.898500611306019,0.502428451718205,0.756561786898338,0.0427822837676742,0.469277131231922
"a","ɔ",1000,0.839272870763168,0.311999831998417,0.396194511546058,0.0579637540619313,0.672875801095144
"a","u",783,0.876263100657715,0.443105782831732,0.855175158270286,0.040142705888165,0.425208705737695
"a","uː",1000,0.903252209899164,0.564655756657195,1.02328899893517,0.0515437292216774,0.359410892032728
"a","ʉː",1000,0.951113765462185,0.566779099913166,0.8358417031307,0.019683138246804,0.433509441572786
"a","ʊ",1000,0.88286282174644,0.404593566893242,0.562101492579579,0.0412488024481083,0.5700099326637
"æ","aj",1000,0.822445545407521,0.175283573014885,0.212136673528641,0.0717046152221927,0.808854141061983
"æ","aw",1000,0.873647224283902,0.397866116123493,0.481394756022815,0.0364859370620118,0.617920941537268
"æ","ɐ",1000,0.869175448224219,0.41648892271532,0.505866167328921,0.0390129693724765,0.602983064938209
"æ","ɑ",1000,0.923251957355007,0.537892283324676,0.756584470829036,0.0313154387091979,0.469266486302734
"æ","ɑː",1000,0.942861021197011,0.587022397951311,0.919763257697615,0.0176616643784479,0.398613398568608
"æ","ɒ",1000,0.947024884364247,0.621476104771198,1.05046994297215,0.0144012787026673,0.349773336960463
"æ","ɒː",939,0.983975527093229,0.66999687814419,1.26505403526276,0.00617854251384951,0.28222404567803
"æ","e",1000,0.904264236725338,0.52062302769067,0.78542955857331,0.0455262733281736,0.45592381373299
"æ","ej",1000,0.892300666563703,0.439232410678236,0.55792144635572,0.0409492671570376,0.5723975873071
"æ","ə",1000,0.888564115358958,0.410297689545721,0.52444003868973,0.0383238466378867,0.591886705244121
"æ","əw",1000,0.943094516062124,0.502440148861731,0.756831624765637,0.016973601530341,0.469150519574737
"æ","ɛ",1000,0.804640661460998,0.165084694466985,0.245211449121519,0.0941781403002611,0.782539053551261
"æ","ɛː",845,0.828930918887285,0.226472878837173,0.297566530585897,0.0663021254285399,0.742623174422307
"æ","ɚ",1000,0.942538620085923,0.581044851517333,0.957547950089228,0.0172007587888248,0.38383291046449
"æ","ɝ",1000,0.964410152085741,0.638758458628681,1.13609021990099,0.0140303813163037,0.321071891489557
"æ","i",1000,0.920085311111976,0.560780783357437,0.852558022277355,0.0255855130407785,0.426322992229615
"æ","iː",1000,0.967138391869735,0.64155742693709,1.13865710632991,0.00968673989348181,0.320248793260365
"æ","ɪ",1000,0.88586626573389,0.426102631183788,0.533344887206092,0.0361802044840209,0.586639441513413
"æ","o",1000,0.949535246577569,0.616373185914353,1.13300419083776,0.0109866841509853,0.322064259128195
"æ","ow",1000,0.959938815634479,0.659324860312473,1.22406226425622,0.0172335732368036,0.29403329661719
"æ","ɔ",1000,0.916201055191941,0.50990084447552,0.743960506245063,0.0250190044842516,0.475228039855275
"æ","u",783,0.93510288599271,0.55892394838693,1.11702888296035,0.0206437536466738,0.327250651631247
"æ","uː",1000,0.939086339213774,0.639558405409522,1.22554884956748,0.0236855032180798,0.293596515773849
"æ","ʉː",1000,0.947526263046134,0.604702985720324,0.967764608160916,0.0158907249949699,0.379931385073793
"æ","ʊ",1000,0.91115110999369,0.518982385438318,0.814304086570637,0.0220365118037119,0.442947473222612
"aj","aw",1000,0.79426695709839,0.143719617989489,0.181096346952298,0.0759533772036526,0.834354967264886
"aj","ɐ",1000,0.864963149017556,0.200034332861257,0.225416681252552,0.0513822814946552,0.798183561332031
"aj","ɑ",1000,0.866932589024409,0.295879206475078,0.379649370952401,0.0666300605602562,0.684101232929081
"aj","ɑː",1000,0.900312759501361,0.378812457424308,0.480493042189071,0.0315332000386396,0.618478380685938
"aj","ɒ",1000,0.911051487184034,0.468795492493404,0.625132181152445,0.0216686851946596,0.535190681722309
"aj","ɒː",939,0.951160441852701,0.566342997394523,0.88499944067417,0.010181912782911,0.412714404120812
"aj","e",1000,0.943762432646856,0.580472250464895,0.97186077590875,0.0154637439475415,0.378378305396845
"aj","ej",1000,0.945839783025169,0.543127818950525,0.801821906387532,0.0210308869936606,0.448511074093161
"aj","ə",1000,0.900010478652353,0.389271573623698,0.472368833265812,0.0356998400326285,0.623523494294389
"aj","əw",1000,0.89792587278724,0.354743179208346,0.46296673369827,0.0382956179289347,0.629413570421644
"aj","ɛ",1000,0.872791032143688,0.21549135581265,0.271898556361658,0.0598753544212892,0.76193155027815
"aj","ɛː",845,0.859841754274336,0.235338682356266,0.290738596440113,0.0450189753195966,0.747711106819176
"aj","ɚ",1000,0.933369915486103,0.579284745783046,0.9380917285462,0.0141560829087814,0.391373970994041
"aj","ɝ",1000,0.947227363986717,0.607795442528795,0.984550784324103,0.0129730756235385,0.373607019376071
"aj","i",1000,0.96430977837824,0.628818778358903,1.05057037934326,0.0153151440529321,0.349738208759894
"aj","iː",1000,0.975735062937894,0.69200141936957,1.36618044284553,0.00604613558081787,0.255079391555734
"aj","ɪ",1000,0.931727279392691,0.508341097561723,0.67210779308917,0.0302040585260779,0.510631137891701
"aj","o",1000,0.932911674166462,0.497151412452263,0.835810503678327,0.027037056828233,0.433522967040954
"aj","ow",1000,0.925368327551757,0.503356753329836,0.75031453676521,0.0294441698284207,0.472217999457481
"aj","ɔ",1000,0.889083383233179,0.348171225652563,0.462987902251363,0.0611195134993525,0.629400246788083
"aj","u",783,0.95263572739979,0.526995210042939,1.02806054156967,0.0137842752626931,0.357700032603461
"aj","uː",1000,0.943539583113323,0.628876831454542,1.2288221502355,0.0218431518696254,0.292637057257413
"aj","ʉː",1000,0.96190324436907,0.640398008454138,1.05563574356589,0.0139250734162564,0.347971136560382
"aj","ʊ",1000,0.918622598195299,0.512891536579975,0.714448524674132,0.0256379557060293,0.489461963577057
"aw","ɐ",1000,0.81624184914622,0.168243233490556,0.202090012837473,0.0698942668704514,0.817021382219367
"aw","ɑ",1000,0.763727046843387,0.100286405826398,0.196884193526198,0.101812017295067,0.821285738010985
"aw","ɑː",1000,0.825706923526642,0.15664115785113,0.199190428815703,0.0774871491827038,0.819393842276109
"aw","ɒ",1000,0.858518041600103,0.315536654880646,0.373676529408319,0.0453637652828688,0.688199488124214
"aw","ɒː",939,0.912053691554698,0.463991537515682,0.61200761153307,0.0361823433043442,0.542261125859783
"aw","e",1000,0.931863157675016,0.678909824429539,1.36453101984219,0.0188170837995952,0.255500472546713
"aw","ej",1000,0.97561608414869,0.682062173465992,1.30095690057676,0.00599707417415122,0.27227113193734
"aw","ə",1000,0.921186187878235,0.497873553239792,0.608786854083093,0.0260161463837478,0.544010432955489
"aw","əw",1000,0.875129084278519,0.333179680368094,0.365289518262751,0.0469751130131007,0.693995697360869
"aw","ɛ",1000,0.920599906174945,0.412481358859663,0.491196722715229,0.033475939069622,0.611893688772597
"aw","ɛː",845,0.912155159122476,0.44080621140142,0.564416678413661,0.0266623289909465,0.568691780215033
"aw","ɚ",1000,0.963132847612058,0.667511236961149,1.25518529872173,0.0136667547941677,0.285023028928006
"aw","ɝ",1000,0.962213755328052,0.659164802622379,1.18566016030116,0.0106925761955906,0.305544404617988
"aw","i",1000,0.941746572203905,0.713951749925539,1.50427239286209,0.010351461982503,0.222178893983263
"aw","iː",1000,0.980963426312229,0.755819194306991,1.81725593570949,0.00940317873030129,0.162470970587467
"aw","ɪ",1000,0.971187899860419,0.64009456361263,1.07438652233665,0.0127943396420409,0.34150719808809
"aw","o",1000,0.906470601627783,0.489579318612882,0.741287946162292,0.0466635162113206,0.476499814034279
"aw","ow",1000,0.851184835732462,0.405096809353155,0.521092035911841,0.0589692523445095,0.593871664547968
"aw","ɔ",1000,0.822858290029989,0.308474566595479,0.366840214628112,0.0802507489788896,0.692920354735832
"aw","u",783,0.922026692173055,0.594732188104621,1.19081439062186,0.0268946666498939,0.303973609979548
"aw","uː",1000,0.930186060514531,0.688402777403875,1.47928091506214,0.0293550888832053,0.227801438084734
"aw","ʉː",1000,0.975783590977921,0.707533536852329,1.38393912510754,0.00791182980540104,0.25058950293986
"aw","ʊ",1000,0.938766297378187,0.603834722227657,0.953885753778847,0.0188282980393252,0.385241159000377
"ɐ","ɑ",1000,0.843531479723435,0.20712970071295,0.267322695329346,0.0681385624648124,0.765426032202758
"ɐ","ɑː",1000,0.881101530748818,0.287267734736277,0.363872864839092,0.0464489505345493,0.69497954546289
"ɐ","ɒ",1000,0.877662438023063,0.287505104025714,0.359836777834073,0.0516282663291392,0.697790211606157
"ɐ","ɒː",939,0.935878422001768,0.425107553536071,0.57538870260678,0.0271460978812176,0.562486186461555
"ɐ","e",1000,0.922661801276607,0.579804892208949,1.01891896373084,0.0235029663721609,0.360984967160557
"ɐ","ej",1000,0.947016009206827,0.573974598132266,0.904885211520908,0.0182546368677789,0.404588324516043
"ɐ","ə",1000,0.870524929369248,0.246715628654742,0.256733920329927,0.0401550756857957,0.773574018703654
"ɐ","əw",1000,0.855169983590141,0.155584321091688,0.219210308413833,0.0528076123605937,0.803152790601349
"ɐ","ɛ",1000,0.869994527914352,0.266973332262093,0.284663713707191,0.0645555713037819,0.752267188931945
"ɐ","ɛː",845,0.908768204899508,0.272318138889015,0.337880873297959,0.0408873510448617,0.71328025356158
"ɐ","ɚ",1000,0.911746856917581,0.488773987187017,0.741513078679066,0.0190201203111484,0.47639255050661
"ɐ","ɝ",1000,0.927446098417525,0.524892565235429,0.744894291701337,0.0196259189636651,0.474784485947568
"ɐ","i",1000,0.955571368228763,0.618587214203992,1.04248426585899,0.0198077667350515,0.352577696343433
"ɐ","iː",1000,0.973712844182561,0.688380076170127,1.36233973539206,0.00498151319336584,0.256060960629339
"ɐ","ɪ",1000,0.944880703525734,0.464004952756995,0.607949011224284,0.0204206986592567,0.544466419207596
"ɐ","o",1000,0.826712219946561,0.33968091227684,0.54712229266312,0.068829307628608,0.578612494294261
"ɐ","ow",1000,0.855419564517843,0.27030943268614,0.380775580748195,0.0678359571283717,0.683331225095811
"ɐ","ɔ",1000,0.837666675692367,0.210758536770052,0.29835029346927,0.0631191086756413,0.742041361973147
"ɐ","u",783,0.933393084112684,0.470575673535971,0.901876829941471,0.0246663724859887,0.405807313251043
"ɐ","uː",1000,0.915382596478473,0.595064444364859,1.13973578908154,0.0252551943999495,0.319903532657652
"ɐ","ʉː",1000,0.964487948014764,0.582227477597786,0.86131292936525,0.013672829168275,0.42260686495396
"ɐ","ʊ",1000,0.885510478110219,0.369724825481836,0.452246958905122,0.0453579150022239,0.636197035799672
"ɑ","ɑː",1000,0.793403449289266,0.0904032434406946,0.168557447809228,0.0885070119353895,0.844882725363121
"ɑ","ɒ",1000,0.854643100228678,0.235868967405753,0.284345772180718,0.0458462199128892,0.752506403936486
"ɑ","ɒː",939,0.907612714289912,0.413499240808256,0.525322053615311,0.0359898413691921,0.591364882497398
"ɑ","e",1000,0.921801999330113,0.718579309950771,1.65572003425914,0.0334525375813984,0.190954512402595
"ɑ","ej",1000,0.968224174630319,0.721329692355842,1.57455857666632,0.00715021292747111,0.207098950816305
"ɑ","ə",1000,0.909951856555021,0.494201458468811,0.654063364810613,0.0268099324540973,0.519928818222358
"ɑ","əw",1000,0.877946777770753,0.312609668712645,0.389644666586726,0.0392863562370515,0.677297498176645
"ɑ","ɛ",1000,0.919740184992861,0.481637028092678,0.638798767431749,0.032379668373645,0.52792620545903
"ɑ","ɛː",845,0.934299152797642,0.502415714079137,0.7330329565364,0.0218991179848356,0.480449595327926
"ɑ","ɚ",1000,0.949218867191215,0.624180464639688,1.1576959109247,0.0141653645056859,0.314209313728565
"ɑ","ɝ",1000,0.959347411430543,0.590822294264846,0.960946463296957,0.0146101885184872,0.382530663354118
"ɑ","i",1000,0.939150982699644,0.731571534386436,1.66550107214785,0.0166031490501222,0.189095883559029
"ɑ","iː",1000,0.983597860847571,0.775888577889979,2.03836336595436,0.00552986547172864,0.13024169453417
"ɑ","ɪ",1000,0.955361971346524,0.660184081888377,1.2329760382718,0.0177658638384269,0.291423996889028
"ɑ","o",1000,0.893773252991114,0.471018185619625,0.80210820543177,0.0334089696881208,0.448382684181149
"ɑ","ow",1000,0.875746435635781,0.320910197169885,0.426634506802686,0.0604661010421252,0.652702066802807
"ɑ","ɔ",1000,0.850799156969511,0.302591408431059,0.437806816226279,0.0749446174092192,0.645450461369851
"ɑ","u",783,0.921941347814378,0.606259358365598,1.36502084529923,0.0308617125988396,0.255375352556953
"ɑ","uː",1000,0.908916677189662,0.699486605908975,1.64844029069729,0.036724160106195,0.192349684370556
"ɑ","ʉː",1000,0.941788457201919,0.705016049948296,1.45649239727888,0.0148826232842124,0.23305229762436
"ɑ","ʊ",1000,0.931411557500628,0.58896340857579,0.955099997411165,0.0307010385861089,0.384773666258635
"ɑː","ɒ",1000,0.851212789566757,0.221668158291652,0.262305477353425,0.0689890139654505,0.769275991416971
"ɑː","ɒː",939,0.834701542150009,0.348748354751815,0.386624103510308,0.068438366747847,0.679346410868578
"ɑː","e",1000,0.969780271820224,0.743667214082412,1.8277010599982,0.00644792633211362,0.16078277317088
"ɑː","ej",1000,0.991376137434129,0.743421997090281,1.69372813180909,0.00215089658504865,0.183832891609498
"ɑː","ə",1000,0.961389277767967,0.5760855833626,0.844471647623398,0.0160188511393021,0.429784375829205
"ɑː","əw",1000,0.900675242572883,0.343975131651618,0.377969107638869,0.0476128539358016,0.685251669380929
"ɑː","ɛ",1000,0.947178537118185,0.539163953266416,0.75781390635643,0.0149877606497047,0.468689907918259
"ɑː","ɛː",845,0.930904659017852,0.559278733662953,0.868007570396032,0.0190233259108186,0.419787112841392
"ɑː","ɚ",1000,0.979053656786826,0.705447981994213,1.53605922544292,0.00807650401780442,0.215227595843345
"ɑː","ɝ",1000,0.981895845230277,0.683887736465429,1.33866431595347,0.00812058392896158,0.262195645339658
"ɑː","i",1000,0.984556824196949,0.762890899525772,1.89697074154051,0.00634425161818079,0.150022388172407
"ɑː","iː",1000,0.99338478081955,0.795202045783495,2.21861781566252,0.00173876685757046,0.108759330427141
"ɑː","ɪ",1000,0.97902827497989,0.705364139737575,1.42903029966842,0.00384136282336843,0.239541092734713
"ɑː","o",1000,0.936828731240293,0.501191484467678,0.812872232909715,0.0288418282239953,0.443582163467079
"ɑː","ow",1000,0.859170491321684,0.341030272910406,0.402793803322023,0.0405902630822353,0.668449917266605
"ɑː","ɔ",1000,0.865036413913091,0.337616106261436,0.446809407949165,0.0570374541583031,0.639665811876437
"ɑː","u",783,0.972047033129039,0.650505398817153,1.49443709143305,0.00950140182211509,0.224374871726317
"ɑː","uː",1000,0.960105433624439,0.73643938370872,1.85891865461934,0.0111204533390643,0.155841057295169
"ɑː","ʉː",1000,0.987764401315267,0.746555477854219,1.70486549647742,0.0049894291344751,0.181796836845929
"ɑː","ʊ",1000,0.957570350904296,0.650728477844366,1.13808103514969,0.0105591039144281,0.32043333250943
"ɒ","ɒː",939,0.785887325133648,0.0991178810987262,0.162841864081874,0.0831822342262574,0.849725549920612
"ɒ","e",1000,0.984680636770156,0.724361342287122,1.68510938051825,0.00549088766633963,0.185424149057193
"ɒ","ej",1000,0.980781174474841,0.702816537495029,1.45730933630391,0.00806846508446506,0.232861985854699
"ɒ","ə",1000,0.92298479352734,0.449935817383275,0.56569778553496,0.0249422737339741,0.567963691604907
"ɒ","əw",1000,0.848130014223807,0.153807317321581,0.217834653097746,0.0879183703197551,0.804258412310202
"ɒ","ɛ",1000,0.942767127790588,0.499235327580897,0.666891268984461,0.016190948494744,0.513301817306664
"ɒ","ɛː",845,0.941063282494181,0.515837620534694,0.74132249856884,0.0104803866348556,0.47648335010342
"ɒ","ɚ",1000,0.953816212041201,0.628385290467465,1.14725112420591,0.017064637173816,0.317508361930917
"ɒ","ɝ",1000,0.947734110010939,0.600249656399119,0.987858815860608,0.0242844434278539,0.372373157525858
"ɒ","i",1000,0.979607696369046,0.723685651471573,1.61126991614194,0.00364869339494912,0.19963393467733
"ɒ","iː",1000,0.991500881083611,0.75731469707448,1.84834087597814,0.00560304651106928,0.157498258805908
"ɒ","ɪ",1000,0.960236522662891,0.63316915860391,1.09940013921525,0.0109767954011312,0.333070819908538
"ɒ","o",1000,0.81954624251893,0.327736872580522,0.550979665717037,0.0633953300867295,0.576384869202741
